datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Blood(%),Avg_Blood(%),Milking_Time(seconds),Avg_Milking_Time(seconds),SCC(*1000/ml),Avg_SCC(*1000/ml),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr)
7/4/18,2714,6,1,265,Milk,Pregnant,37363,1556,3.55,0,2.86,0,3.58,0,9.2,9,0.13,0,195,183,374972,0,203,34,-1,-1,-1,-1,-1,0
8/4/18,26,23,2,344,Milk,Pregnant,28828,1201,4.19,1.56,3.23,1.69,4.52,1.04,11.6,10.9,0.04,0.04,210,202,311888,1976,133,5,9,82,51,20,739,0
8/4/18,86,6,1,268,Milk,Pregnant,35345,1472,3.64,1.54,3.23,1.67,4.45,1.32,9.4,9.3,0.01,0.01,229,217,879023,83280,164,24,-1,-1,-1,-1,-1,0
8/4/18,2714,6,1,266,Milk,Pregnant,31586,1316,4.51,0.81,3.09,0.75,4.57,0.34,9.3,9,0.23,0.02,181,185,315500,5331,198,8,-1,-1,-1,-1,-1,0
9/4/18,26,23,2,345,Milk,Pregnant,27821,1159,4.21,2.81,3.39,2.51,4.54,2.22,11.8,11,0.04,0.08,232,205,1534616,48530,120,12,8,100,55,16,796,0
9/4/18,86,6,1,269,Milk,Pregnant,34994,1458,3.62,2.44,3.28,2.73,4.44,2.24,9.5,9.3,0.03,0.05,215,214,6338697,347229,162,28,-1,-1,-1,-1,-1,0
9/4/18,2714,6,1,267,Milk,Pregnant,37911,1579,4.05,1.83,3.04,1.67,4.49,0.98,9.5,9,0.16,0.05,205,184,1294195,131971,182,26,4,92,25,61,367,0
10/4/18,26,23,2,346,Milk,Pregnant,29873,1244,4.24,3.14,3.12,2.74,4.58,2.87,11.8,11,0.06,0.08,212,202,9660511,55995,115,0,10,73,51,20,730,0
10/4/18,86,6,1,270,Milk,Pregnant,34221,1425,3.67,2.78,3.23,2.99,4.46,2.61,9.5,9.3,0.02,0.05,208,216,247172,352498,112,-16,-1,-1,-1,-1,-1,0
10/4/18,2714,6,1,268,Milk,Pregnant,34011,1417,4.17,3.05,3.12,2.48,4.52,2.39,9,9,0.02,0.05,163,180,151704,236478,210,17,8,68,38,40,546,0
11/4/18,26,23,2,347,Milk,Pregnant,29194,1216,4.31,3.4,3.17,2.97,4.57,3.21,12.2,11,0.07,0.08,248,204,232808925,83920,113,-2,9,90,57,14,814,0
11/4/18,86,6,1,271,Milk,Pregnant,36876,1536,3.67,3.1,3.35,3.23,4.42,3.1,9.8,9.3,0.03,0.05,231,214,233883,866676,150,17,-1,-1,-1,-1,-1,0
11/4/18,2714,6,1,269,Milk,Pregnant,39914,1663,4.06,3.46,3.1,2.84,4.54,3.07,9.1,9,0.02,0.07,199,181,862978,247559,219,19,6,74,31,52,442,0
12/4/18,26,23,2,348,Milk,Pregnant,27636,1151,4.16,3.58,3.26,3.04,4.54,3.53,12.7,11.1,0.08,0.08,215,203,389942,90819,121,6,12,61,51,21,733,0
12/4/18,86,6,1,272,Milk,Pregnant,37763,1573,3.5,3.28,3.33,3.3,4.41,3.45,9.8,9.3,0.02,0.04,247,213,380189,608644,133,4,-1,-1,-1,-1,-1,0
12/4/18,2714,6,1,270,Milk,Pregnant,39103,1629,3.94,3.63,3.08,2.93,4.55,3.31,9.1,9,0.34,0.07,181,179,974989,219835,225,61,7,85,41,37,595,0
13/04/2018,26,23,2,349,Milk,Pregnant,27168,1132,4.2,3.7,3.28,3.07,4.53,3.67,11.2,11.1,0.03,0.07,205,204,16481624,331354,128,13,9,96,59,14,865,0
13/04/2018,86,6,1,273,Milk,Pregnant,34593,1441,3.57,3.33,3.33,3.3,4.43,3.74,9.7,9.3,0.02,0.02,250,212,138675,262036,122,0,-1,-1,-1,-1,-1,0
13/04/2018,2714,6,1,271,Milk,Pregnant,40660,1694,3.87,3.53,3.1,2.79,4.5,3.42,9.2,9,0.84,0.06,182,177,5081592,152852,172,15,7,81,39,39,565,0
14/04/2018,26,23,2,350,Milk,Pregnant,26963,1123,4.21,3.77,3.24,3.03,4.6,3.89,12,11.2,0.06,0.05,209,204,3265877,186106,117,-2,9,87,55,16,787,0
14/04/2018,86,6,1,274,Milk,Pregnant,36118,1504,3.65,3.36,3.32,3.34,4.48,3.92,9.5,9.4,0.02,0.02,222,214,11481534,245975,119,3,-1,-1,-1,-1,-1,0
14/04/2018,2714,6,1,272,Milk,Pregnant,39396,1641,3.99,3.59,3.08,2.79,4.57,3.66,9.4,9,0.02,0.05,196,177,6934259,158775,231,29,8,59,33,50,471,0
15/04/2018,26,23,2,351,Milk,Pregnant,28047,1168,4.33,3.87,3.2,3,4.62,4.03,11.5,11.1,0.07,0.04,214,204,9246983,2996300,158,31,9,92,57,17,826,0
15/04/2018,86,6,1,275,Milk,Pregnant,35045,1460,3.62,3.5,3.32,3.33,4.48,4.2,9.4,9.4,0.03,0.02,218,217,19408863,158915,154,19,-1,-1,-1,-1,-1,0
15/04/2018,2714,6,1,273,Milk,Pregnant,36946,1539,4.06,3.67,3.11,2.79,4.57,3.99,8.9,9,0.04,0.04,176,174,11994992,186823,186,4,6,108,45,32,649,0
16/04/2018,26,23,2,352,Milk,Pregnant,27716,1154,4.33,4.01,3.16,3.07,4.56,4.33,11.5,11.1,0.04,0.03,200,201,193196943,268924,115,4,10,78,54,17,778,0
16/04/2018,86,6,1,276,Milk,Pregnant,33028,1376,3.57,3.62,3.37,3.3,4.46,4.44,9.3,9.4,0.03,0.02,215,219,4988844,158915,132,2,7,117,55,16,820,0
16/04/2018,2714,6,1,274,Milk,Pregnant,38116,1588,4.11,3.74,3.21,2.84,4.51,4.17,9.2,9,0.03,0.02,186,176,2275096,253820,188,20,8,69,38,38,550,0
17/04/2018,26,23,2,353,Milk,Pregnant,27083,1128,4.21,4.15,3.27,3.16,4.57,4.47,12.4,11.1,0.07,0.04,228,202,2387810,2984833,115,0,12,64,54,17,763,0
17/04/2018,86,6,1,277,Milk,Pregnant,33664,1402,3.72,3.62,3.29,3.31,4.43,4.45,9.3,9.3,0.03,0.02,239,218,12302692,191236,113,18,8,84,51,19,672,0
17/04/2018,2714,6,1,275,Milk,Pregnant,38263,1594,4.25,3.69,3.16,2.84,4.59,4.17,9,9,0.62,0.02,188,177,3396253,401921,208,6,6,100,42,35,600,0
